dataset,target,epsilon,seed,stuck_value,true_bucket,fault_rate,mode,method,n_test,auroc,auprc,r_error,bucket_error,bucket_acc,js,wasserstein,runtime_sec
UCI Air Quality,C6H6(GT),1.0,0,0.03125,16,0.3,iid,random,1799,0.5003191833612802,0.2921324728825127,0.3,17,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.0,1,0.03125,16,0.3,iid,mixture,1799,0.6621547083223016,0.43474225643923525,0.10119496855345908,0,1.0,0.04296587700276243,0.10183109115356266,0.012153424991993234
UCI Air Quality,C6H6(GT),1.0,1,0.03125,16,0.3,iid,hmm,1799,0.5595652046009473,0.3476515686088776,0.10154095570425012,1,0.0,0.04296587700276243,0.10183109115356266,0.3681525709980633
UCI Air Quality,C6H6(GT),1.0,1,0.03125,16,0.3,iid,random,1799,0.4956976436325126,0.29168324278799584,0.3,17,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.0,2,0.03125,16,0.3,iid,mixture,1799,0.6647942223398935,0.440169520613366,0.046540880503144644,0,1.0,0.04296587700276243,0.10183109115356266,0.01225183300266508
UCI Air Quality,C6H6(GT),1.0,2,0.03125,16,0.3,iid,hmm,1799,0.5910849292501398,0.36565440209561656,0.07294252140039295,1,0.0,0.04296587700276243,0.10183109115356266,0.3667018359992653
UCI Air Quality,C6H6(GT),1.0,2,0.03125,16,0.3,iid,random,1799,0.47832789103638984,0.2915444540412683,0.3,17,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.0,3,0.03125,16,0.3,iid,mixture,1799,0.6869009796134499,0.46227886987664546,0.06641509433962259,0,1.0,0.04296587700276243,0.10183109115356266,0.012149987000157125
UCI Air Quality,C6H6(GT),1.0,3,0.03125,16,0.3,iid,hmm,1799,0.5722104550936957,0.3570985251267312,0.09355975033480446,0,1.0,0.04296587700276243,0.10183109115356266,0.3660584530007327
UCI Air Quality,C6H6(GT),1.0,3,0.03125,16,0.3,iid,random,1799,0.4953313917571264,0.2970137712182609,0.3,17,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.0,4,0.03125,16,0.3,iid,mixture,1799,0.6675889153649281,0.4192470184987809,0.026666666666666616,1,0.0,0.04296587700276243,0.10183109115356266,0.0121763560018735
UCI Air Quality,C6H6(GT),1.0,4,0.03125,16,0.3,iid,hmm,1799,0.5405142235166064,0.32526141473285897,0.0698644149676573,1,0.0,0.04296587700276243,0.10183109115356266,0.3724077060032869
UCI Air Quality,C6H6(GT),1.0,4,0.03125,16,0.3,iid,random,1799,0.5150310358014886,0.3119917663301416,0.3,17,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.0,0,0.84375,29,0.3,segment,mixture,1799,0.7122723796075663,0.472241196184288,0.006792452830188644,0,1.0,0.04296587700276243,0.10183109115356266,0.012898088010842912
UCI Air Quality,C6H6(GT),1.0,0,0.84375,29,0.3,segment,hmm,1799,0.9698585002794694,0.9358543631421918,0.002363823160598688,0,1.0,0.04296587700276243,0.10183109115356266,0.3726983980013756
UCI Air Quality,C6H6(GT),1.0,0,0.84375,29,0.3,segment,random,1799,0.491518842114553,0.2957488736472729,0.3,30,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.0,1,0.84375,29,0.3,segment,mixture,1799,0.7166644603300679,0.4889610177409991,0.04157232704402514,0,1.0,0.04296587700276243,0.10183109115356266,0.012300586997298524
UCI Air Quality,C6H6(GT),1.0,1,0.84375,29,0.3,segment,hmm,1799,0.958542935310211,0.9090302508913983,0.02344412101676696,0,1.0,0.04296587700276243,0.10183109115356266,0.37651707300392445
UCI Air Quality,C6H6(GT),1.0,1,0.84375,29,0.3,segment,random,1799,0.5212205454064073,0.31090206581528385,0.3,30,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.0,2,0.84375,29,0.3,segment,mixture,1799,0.7240181802135733,0.48865763830142533,0.0031446540880503693,0,1.0,0.04296587700276243,0.10183109115356266,0.01228442600404378
UCI Air Quality,C6H6(GT),1.0,2,0.84375,29,0.3,segment,hmm,1799,0.9534992498455563,0.9010423288959503,0.007760269011713339,0,1.0,0.04296587700276243,0.10183109115356266,0.3693066429987084
UCI Air Quality,C6H6(GT),1.0,2,0.84375,29,0.3,segment,random,1799,0.48461300856058603,0.29035758971253567,0.3,30,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.0,3,0.84375,29,0.3,segment,mixture,1799,0.7138212278998617,0.46578884870501597,0.0031446540880503693,0,1.0,0.04296587700276243,0.10183109115356266,0.01293014500697609
UCI Air Quality,C6H6(GT),1.0,3,0.84375,29,0.3,segment,hmm,1799,0.9551598858588534,0.8947459538673329,0.001002755159718982,1,0.0,0.04296587700276243,0.10183109115356266,0.3722155389987165
UCI Air Quality,C6H6(GT),1.0,3,0.84375,29,0.3,segment,random,1799,0.504321477951343,0.3040456585632596,0.3,30,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.0,4,0.84375,29,0.3,segment,mixture,1799,0.6977149707292678,0.47025031631207026,0.08628930817610059,1,0.0,0.04296587700276243,0.10183109115356266,0.012196640003821813
UCI Air Quality,C6H6(GT),1.0,4,0.84375,29,0.3,segment,hmm,1799,0.9466287176771687,0.8928363684500782,0.053003667803836724,1,0.0,0.04296587700276243,0.10183109115356266,0.3669407220004359
UCI Air Quality,C6H6(GT),1.0,4,0.84375,29,0.3,segment,random,1799,0.5022225164004354,0.30550952088031835,0.3,30,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.0,0,0.84375,29,0.3,iid,mixture,1799,0.7228010178566175,0.4854461884783001,0.0912578616352201,0,1.0,0.04296587700276243,0.10183109115356266,0.012283008996746503
UCI Air Quality,C6H6(GT),1.0,0,0.84375,29,0.3,iid,hmm,1799,0.6059115111934811,0.37578448260748,0.12237181306214565,0,1.0,0.04296587700276243,0.10183109115356266,0.3776156940002693
