station_id,label_code,label,n_rows_full,positive_rows_full,fault_rate_full,negative_rows_full,eligible_for_pmldp,sample_rule,n_rows_sample,positive_rows_sample,fault_rate_sample,station_url
022000-99999,TSS,temperature straight string,48613,0,0.0,48613,0,full,48613,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_022000-99999.nc.gz
022000-99999,DSS,dew point straight string,47684,0,0.0,47684,0,full,47684,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_022000-99999.nc.gz
022000-99999,PSS,sea-level pressure straight string,13689,0,0.0,13689,0,full,13689,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_022000-99999.nc.gz
080144-99999,TSS,temperature straight string,76410,0,0.0,76410,0,stratified_cap_50000,50000,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_080144-99999.nc.gz
080144-99999,DSS,dew point straight string,76354,0,0.0,76354,0,stratified_cap_50000,50000,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_080144-99999.nc.gz
080144-99999,PSS,sea-level pressure straight string,1,0,0.0,1,0,full,1,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_080144-99999.nc.gz
013060-99999,TSS,temperature straight string,39550,0,0.0,39550,0,full,39550,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_013060-99999.nc.gz
013060-99999,DSS,dew point straight string,38918,0,0.0,38918,0,full,38918,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_013060-99999.nc.gz
013060-99999,PSS,sea-level pressure straight string,39504,0,0.0,39504,0,full,39504,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_013060-99999.nc.gz
024060-99999,TSS,temperature straight string,52482,33,0.0006287870126900652,52449,0,stratified_cap_50000,50000,31,0.00062,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_024060-99999.nc.gz
024060-99999,DSS,dew point straight string,52324,14,0.00026756364192340035,52310,0,stratified_cap_50000,50000,13,0.00026,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_024060-99999.nc.gz
024060-99999,PSS,sea-level pressure straight string,73,0,0.0,73,0,full,73,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_024060-99999.nc.gz
014280-99999,TSS,temperature straight string,69796,0,0.0,69796,0,stratified_cap_50000,50000,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_014280-99999.nc.gz
014280-99999,DSS,dew point straight string,69581,27,0.0003880369641137667,69554,0,stratified_cap_50000,50000,19,0.00038,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_014280-99999.nc.gz
014280-99999,PSS,sea-level pressure straight string,10,0,0.0,10,0,full,10,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_014280-99999.nc.gz
085370-99999,TSS,temperature straight string,43086,0,0.0,43086,0,full,43086,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_085370-99999.nc.gz
085370-99999,DSS,dew point straight string,43050,0,0.0,43050,0,full,43050,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_085370-99999.nc.gz
085370-99999,PSS,sea-level pressure straight string,14776,0,0.0,14776,0,full,14776,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_085370-99999.nc.gz
022620-99999,TSS,temperature straight string,52373,0,0.0,52373,0,stratified_cap_50000,50000,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_022620-99999.nc.gz
022620-99999,DSS,dew point straight string,51521,0,0.0,51521,0,stratified_cap_50000,50000,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_022620-99999.nc.gz
022620-99999,PSS,sea-level pressure straight string,16168,0,0.0,16168,0,full,16168,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_022620-99999.nc.gz
026500-99999,TSS,temperature straight string,51105,204,0.003991781626063986,50901,1,stratified_cap_50000,50000,200,0.004,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_026500-99999.nc.gz
026500-99999,DSS,dew point straight string,51067,182,0.0035639454050561026,50885,1,stratified_cap_50000,50000,178,0.00356,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_026500-99999.nc.gz
026500-99999,PSS,sea-level pressure straight string,76,0,0.0,76,0,full,76,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_026500-99999.nc.gz
031310-99999,TSS,temperature straight string,43536,27,0.0006201764057331864,43509,0,full,43536,27,0.0006201764057331864,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_031310-99999.nc.gz
031310-99999,DSS,dew point straight string,43459,0,0.0,43459,0,full,43459,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_031310-99999.nc.gz
031310-99999,PSS,sea-level pressure straight string,43371,0,0.0,43371,0,full,43371,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_031310-99999.nc.gz
039060-99999,TSS,temperature straight string,52505,0,0.0,52505,0,stratified_cap_50000,50000,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_039060-99999.nc.gz
039060-99999,DSS,dew point straight string,52481,12,0.00022865417960785808,52469,0,stratified_cap_50000,50000,11,0.00022,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_039060-99999.nc.gz
039060-99999,PSS,sea-level pressure straight string,31,0,0.0,31,0,full,31,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_039060-99999.nc.gz
062290-99999,TSS,temperature straight string,4,0,0.0,4,0,full,4,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_062290-99999.nc.gz
062290-99999,DSS,dew point straight string,4,0,0.0,4,0,full,4,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_062290-99999.nc.gz
062290-99999,PSS,sea-level pressure straight string,3,0,0.0,3,0,full,3,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_062290-99999.nc.gz
023420-99999,TSS,temperature straight string,56525,12,0.00021229544449358692,56513,0,stratified_cap_50000,50000,11,0.00022,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_023420-99999.nc.gz
023420-99999,DSS,dew point straight string,56427,12,0.00021266415014089,56415,0,stratified_cap_50000,50000,11,0.00022,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_023420-99999.nc.gz
023420-99999,PSS,sea-level pressure straight string,56,0,0.0,56,0,full,56,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_023420-99999.nc.gz
044160-99999,TSS,temperature straight string,55376,24,0.0004334007512279688,55352,0,stratified_cap_50000,50000,22,0.00044,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_044160-99999.nc.gz
044160-99999,DSS,dew point straight string,55286,24,0.0004341062836884564,55262,0,stratified_cap_50000,50000,22,0.00044,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_044160-99999.nc.gz
044160-99999,PSS,sea-level pressure straight string,1,0,0.0,1,0,full,1,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_044160-99999.nc.gz
021640-99999,TSS,temperature straight string,43302,13,0.00030021708004249225,43289,0,full,43302,13,0.00030021708004249225,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_021640-99999.nc.gz
021640-99999,DSS,dew point straight string,42997,15,0.0003488615484801265,42982,0,full,42997,15,0.0003488615484801265,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_021640-99999.nc.gz
021640-99999,PSS,sea-level pressure straight string,42295,0,0.0,42295,0,full,42295,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_021640-99999.nc.gz
022340-99999,TSS,temperature straight string,40804,13,0.0003185962160572493,40791,0,full,40804,13,0.0003185962160572493,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_022340-99999.nc.gz
022340-99999,DSS,dew point straight string,40577,0,0.0,40577,0,full,40577,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_022340-99999.nc.gz
022340-99999,PSS,sea-level pressure straight string,36160,0,0.0,36160,0,full,36160,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_022340-99999.nc.gz
062000-99999,TSS,temperature straight string,47724,64,0.0013410443382784343,47660,1,full,47724,64,0.0013410443382784343,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_062000-99999.nc.gz
