panel,dataset_id,dataset,mechanism,mechanism_label,fault_mode,epsilon,seed,method,n_test,fault_rows,fault_rate,auroc,auprc,estimated_bucket,estimated_fault_rate,runtime_sec,param_stuck_value,param_segment_length,param_bias,param_scale_factor,param_spike_magnitude
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,bias,0.5,0,privsaf_mixture,1200,240,0.2,0.4709787326388889,0.19049112448022965,0,0.15636363636363637,0.012965799993253313,,48.0,0.35,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,bias,0.5,0,privsaf_hmm,1200,240,0.2,0.34622829861111115,0.1445814278216311,0,0.19234874593802054,0.36982870000065304,,48.0,0.35,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,bias,0.5,0,channel_window_glr,1200,240,0.2,0.45583333333333337,0.18880248539812297,0,0.17,0.014211200003046542,,48.0,0.35,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,bias,0.5,0,channel_spike_score,1200,240,0.2,0.5177083333333333,0.20611893583724572,0,0.03188110663426526,0.0007640999974682927,,48.0,0.35,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,bias,0.5,0,privsaf_mixture,1200,240,0.2,0.4651041666666666,0.18989156058462991,0,0.5466666666666666,0.011893400005646981,,48.0,0.35,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,bias,0.5,0,privsaf_hmm,1200,240,0.2,0.31437499999999996,0.13851308109863414,0,0.26366580344393836,0.3663320999912685,,48.0,0.35,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,bias,0.5,1,channel_window_glr,1200,240,0.2,0.5845898437499999,0.2863146102636372,14,0.1875,0.016388100004405715,,48.0,0.35,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,bias,0.5,1,channel_spike_score,1200,240,0.2,0.49427300347222225,0.20337813396022714,0,0.04193772687066688,0.0006837999972049147,,48.0,0.35,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,bias,0.5,1,privsaf_mixture,1200,240,0.2,0.4657443576388889,0.18176402495324123,0,0.31666666666666665,0.011337900010403246,,48.0,0.35,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,bias,0.5,1,privsaf_hmm,1200,240,0.2,0.3397699652777778,0.18987543514854266,0,0.2277101974227034,0.3695185999968089,,48.0,0.35,,
