dataset,stream,fault_mode,stuck_value_type,epsilon,seed,method,AUROC,AUPRC,TV_sep,KL_sep,ratio_MAE,bucket_hit1,calibration_condition,fault_rate,target_fault_rate,segment_length,stuck_value,true_bucket,calibration_train_TV_sep
air_quality,C6H6(GT),segment_stuck,median,0.5,2,ldp_window_glr,0.407390350877193,0.04414850202728214,0.042927131967938084,0.005616884757036368,0.14416666666666667,0.0,matched_train,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,2,ldp_distribution_surprise,0.512843567251462,0.050619049954381795,0.042927131967938084,0.005616884757036368,,,matched_train,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,2,privsaf_hmm,0.43361111111111106,0.04198757646434603,0.04960673059035535,0.006942357829315035,0.05785895870516493,0.0,shifted_validation,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,2,privsaf_mixture,0.44198099415204684,0.04343355993120997,0.04960673059035535,0.006942357829315035,0.38515151515151513,0.0,shifted_validation,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,2,ldp_window_glr,0.39964181286549705,0.04388842546595928,0.04960673059035535,0.006942357829315035,0.13916666666666666,0.0,shifted_validation,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,2,ldp_distribution_surprise,0.5113523391812865,0.05046546298140531,0.04960673059035535,0.006942357829315035,,,shifted_validation,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,0,privsaf_hmm,0.4121064814814815,0.10983705856222897,0.042927131967938084,0.005616884757036368,0.011453141700424718,0.0,matched_train,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,0,privsaf_mixture,0.4790316358024691,0.09531263400103945,0.042927131967938084,0.005616884757036368,0.006363636363636377,0.0,matched_train,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,0,ldp_window_glr,0.4398070987654321,0.0902086030149453,0.042927131967938084,0.005616884757036368,0.09583333333333333,0.0,matched_train,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,0,ldp_distribution_surprise,0.4761149691358025,0.09735781094229624,0.042927131967938084,0.005616884757036368,,,matched_train,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,0,privsaf_hmm,0.4095679012345679,0.11259699763232019,0.04960673059035535,0.006942357829315035,0.010577239954135176,0.0,shifted_validation,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,0,privsaf_mixture,0.47145447530864193,0.0949891456668723,0.04960673059035535,0.006942357829315035,0.056363636363636366,0.0,shifted_validation,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,0,ldp_window_glr,0.4066550925925926,0.08675400523507462,0.04960673059035535,0.006942357829315035,0.095,0.0,shifted_validation,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,0,ldp_distribution_surprise,0.4749421296296297,0.09720725095033378,0.04960673059035535,0.006942357829315035,,,shifted_validation,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,1,privsaf_hmm,0.2944058641975309,0.0662807834297929,0.042927131967938084,0.005616884757036368,0.03175138544998091,0.0,matched_train,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,1,privsaf_mixture,0.460895061728395,0.08841399867778985,0.042927131967938084,0.005616884757036368,0.46757575757575764,0.0,matched_train,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
