panel,dataset_id,dataset,case,epsilon,seed,method,calibration,label_rule,n_calibration,n_test,dropout_rows,dropout_rate,normalization_p01,normalization_p99,auroc,auprc,recall_at_5pct_fpr,precision_at_k,estimated_symbol,estimated_dropout_rate,runtime_sec
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2013,0.5,1,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,51359,14383,0.2800482875445394,0.0,2.54,0.9996683575762085,0.9989447182062976,1.0,0.9884585969547383,32,0.2800482875445394,0.0020653999963542446
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2013,0.5,1,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,51359,14383,0.2800482875445394,0.0,2.54,0.9999986743779834,0.9999965789731675,1.0,0.9996523673781548,32,0.2786565441988139,0.5967868000007002
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2013,0.5,2,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,51359,14383,0.2800482875445394,0.0,2.54,1.0,1.0,1.0,1.0,32,0.2800482875445394,0.00013359999866224825
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2013,0.5,2,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,51359,14383,0.2800482875445394,0.0,2.54,0.9996683575762085,0.9989447182062976,1.0,0.9884585969547383,32,0.2800482875445394,0.0016176999924937263
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2013,0.5,2,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,51359,14383,0.2800482875445394,0.0,2.54,0.9999986743779835,0.9999965789859464,1.0,0.9996523673781548,32,0.2786565441988139,0.6469395000021905
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2013,1.0,0,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,51359,14383,0.2800482875445394,0.0,2.54,1.0,1.0,1.0,1.0,32,0.2800482875445394,0.00013390000094659626
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2013,1.0,0,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,51359,14383,0.2800482875445394,0.0,2.54,0.9996683575762085,0.9989447182062976,1.0,0.9884585969547383,32,0.2800482875445394,0.0011505000002216548
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2013,1.0,0,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,51359,14383,0.2800482875445394,0.0,2.54,0.9999986743779835,0.9999965792120695,1.0,0.9996523673781548,32,0.2786565441988139,0.6336258000083035
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2013,1.0,1,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,51359,14383,0.2800482875445394,0.0,2.54,1.0,1.0,1.0,1.0,32,0.2800482875445394,8.370001160074025e-05
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2013,1.0,1,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,51359,14383,0.2800482875445394,0.0,2.54,0.9996683575762085,0.9989447182062976,1.0,0.9884585969547383,32,0.2800482875445394,0.0022944999946048483
