dataset_id,dataset,epsilon,segment_len,stuck_bin,stuck_value,output_bin_for_value,kl_qs_r,chernoff_qs_r,bucket_p_under_fault,bucket_p_under_normal,bucket_delta,bucket_auc,llr_auc,llr_auprc,auroc_gap,hard_case_flag
household_power,UCI Household Power,0.5,32,16,0.03125,16,0.031839350391958544,0.008021129410955848,0.04012579427149195,0.03147008376830362,0.008655710503188335,0.5576504999999999,0.8455739999999999,0.8456477414775075,0.2879235,0.0
household_power,UCI Household Power,0.5,64,16,0.03125,16,0.031839350391958544,0.008021129410955848,0.04012579427149195,0.03147008376830362,0.008655710503188335,0.586131,0.929134,0.9323915457710715,0.34300300000000006,0.0
household_power,UCI Household Power,0.5,8,24,0.53125,17,0.06304822531379368,0.015894326005945647,0.04012579427149195,0.031073463205894592,0.009052331065597361,0.531899,0.757581,0.744322233367188,0.22568199999999994,1.0
household_power,UCI Household Power,0.5,16,24,0.53125,17,0.06304822531379368,0.015894326005945647,0.04012579427149195,0.031073463205894592,0.009052331065597361,0.545142,0.823928,0.8223809079937503,0.278786,1.0
household_power,UCI Household Power,0.5,32,24,0.53125,17,0.06304822531379368,0.015894326005945647,0.04012579427149195,0.031073463205894592,0.009052331065597361,0.5873935,0.9286449999999999,0.9272629274693416,0.34125149999999993,0.0
household_power,UCI Household Power,0.5,64,24,0.53125,17,0.06304822531379368,0.015894326005945647,0.04012579427149195,0.031073463205894592,0.009052331065597361,0.62143,0.975186,0.9728724165554885,0.35375599999999996,0.0
household_power,UCI Household Power,0.5,8,30,0.90625,17,0.08032858096090159,0.020145796003489754,0.037814655599667214,0.031073463205894592,0.006741192393772622,0.53424,0.7705409999999999,0.7727091673837834,0.23630099999999987,1.0
household_power,UCI Household Power,0.5,16,30,0.90625,17,0.08032858096090159,0.020145796003489754,0.037814655599667214,0.031073463205894592,0.006741192393772622,0.5371615000000001,0.866987,0.8633695543339319,0.3298254999999999,1.0
household_power,UCI Household Power,0.5,32,30,0.90625,17,0.08032858096090159,0.020145796003489754,0.037814655599667214,0.031073463205894592,0.006741192393772622,0.568935,0.937561,0.9397493853697264,0.368626,0.0
household_power,UCI Household Power,0.5,64,30,0.90625,17,0.08032858096090159,0.020145796003489754,0.037814655599667214,0.031073463205894592,0.006741192393772622,0.58792,0.9880850000000001,0.9889703578558539,0.4001650000000001,0.0
household_power,UCI Household Power,0.5,8,31,0.96875,17,0.08186124619171511,0.02050764781872894,0.028938861328175285,0.031073463205894592,-0.002134601877719307,0.492844,0.7793300000000001,0.775432427758395,0.2864860000000001,1.0
household_power,UCI Household Power,0.5,16,31,0.96875,17,0.08186124619171511,0.02050764781872894,0.028938861328175285,0.031073463205894592,-0.002134601877719307,0.49070450000000004,0.880381,0.8806510484805045,0.3896764999999999,1.0
household_power,UCI Household Power,0.5,32,31,0.96875,17,0.08186124619171511,0.02050764781872894,0.028938861328175285,0.031073463205894592,-0.002134601877719307,0.481948,0.9410250000000001,0.9462582836859399,0.4590770000000001,1.0
household_power,UCI Household Power,0.5,64,31,0.96875,17,0.08186124619171511,0.02050764781872894,0.028938861328175285,0.031073463205894592,-0.002134601877719307,0.46570500000000004,0.988316,0.989502474664401,0.5226109999999999,1.0
household_power,UCI Household Power,1.0,8,0,-0.96875,12,0.04164620307666567,0.010605012977438205,0.031738214137765335,0.045844708417229506,-0.014106494279464171,0.46394099999999994,0.7298060000000001,0.7200550669369792,0.26586500000000013,1.0
household_power,UCI Household Power,1.0,16,0,-0.96875,12,0.04164620307666567,0.010605012977438205,0.031738214137765335,0.045844708417229506,-0.014106494279464171,0.4202855,0.80922,0.8048639209356938,0.38893450000000007,1.0
household_power,UCI Household Power,1.0,32,0,-0.96875,12,0.04164620307666567,0.010605012977438205,0.031738214137765335,0.045844708417229506,-0.014106494279464171,0.39358350000000003,0.8781439999999999,0.8724477906874084,0.4845604999999999,1.0
household_power,UCI Household Power,1.0,64,0,-0.96875,12,0.04164620307666567,0.010605012977438205,0.031738214137765335,0.045844708417229506,-0.014106494279464171,0.347528,0.9468779999999999,0.9502352067820657,0.5993499999999998,1.0
household_power,UCI Household Power,1.0,8,1,-0.90625,12,0.033877060354007955,0.008718755668041927,0.05152253970937899,0.045844708417229506,0.005677831292149486,0.5005904999999999,0.6986760000000001,0.6761107584133546,0.19808550000000014,0.0
household_power,UCI Household Power,1.0,16,1,-0.90625,12,0.033877060354007955,0.008718755668041927,0.05152253970937899,0.045844708417229506,0.005677831292149486,0.528052,0.775415,0.763867571301013,0.247363,1.0
household_power,UCI Household Power,1.0,32,1,-0.90625,12,0.033877060354007955,0.008718755668041927,0.05152253970937899,0.045844708417229506,0.005677831292149486,0.5299055,0.860217,0.8559891857149536,0.3303115,1.0
household_power,UCI Household Power,1.0,64,1,-0.90625,12,0.033877060354007955,0.008718755668041927,0.05152253970937899,0.045844708417229506,0.005677831292149486,0.5477275,0.926932,0.9306989483565781,0.37920449999999994,1.0
household_power,UCI Household Power,1.0,8,8,-0.46875,14,0.04271651406117167,0.011008440913401479,0.051522539709378985,0.03339460416937293,0.01812793554000606,0.5365305,0.7183930000000001,0.707220981017011,0.18186250000000004,1.0
household_power,UCI Household Power,1.0,16,8,-0.46875,14,0.04271651406117167,0.011008440913401479,0.051522539709378985,0.03339460416937293,0.01812793554000606,0.5801254999999998,0.7912899999999999,0.7846697225667634,0.2111645000000001,0.0
household_power,UCI Household Power,1.0,32,8,-0.46875,14,0.04271651406117167,0.011008440913401479,0.051522539709378985,0.03339460416937293,0.01812793554000606,0.6084445,0.8838320000000002,0.8756540089840059,0.2753875000000001,0.0
