dataset,stream,fault_mode,stuck_value_type,epsilon,method,calibration_condition,rows,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,TV_sep_mean,KL_sep_mean,ratio_MAE_mean,bucket_hit1_mean,fault_rate_mean,segment_length_min,segment_length_max
household_power,Global_active_power hourly sample,segment_stuck,mode_bucket,0.5,privsaf_mixture,matched_train,12,0.5044392665692008,0.03348359478253684,0.07845012288614277,0.02637518833469348,0.04486512362122149,0.007531073861252009,0.09113636363636363,0.0,0.075,12,24
nab,value,segment_stuck,mode_bucket,0.5,ldp_distribution_surprise,matched_train,12,0.46857647349469356,0.04265949817659421,0.07083017021271569,0.026190251388909295,0.03688707799894865,0.004015800434845944,,,0.075,12,24
nab,value,segment_stuck,mode_bucket,0.5,ldp_window_glr,matched_train,12,0.3947122048949534,0.12684701972426202,0.07843233798484932,0.03279794598196071,0.03688707799894865,0.004015800434845944,0.10583333333333333,0.0,0.075,12,24
nab,value,segment_stuck,mode_bucket,0.5,privsaf_hmm,matched_train,12,0.4362416071041802,0.07978252439864726,0.06931772630056457,0.026500040379187753,0.03688707799894865,0.004015800434845944,0.02435880681760744,0.0,0.075,12,24
nab,value,segment_stuck,mode_bucket,0.5,privsaf_mixture,matched_train,12,0.47708314720056316,0.038619091011822045,0.0720365450392496,0.02809530523070244,0.03688707799894865,0.004015800434845944,0.15686868686868685,0.0,0.075,12,24
air_quality,C6H6(GT),segment_stuck,mode_bucket,1.0,ldp_distribution_surprise,matched_train,12,0.48352362870911847,0.02416819872839988,0.07398812977181461,0.027287171575902748,0.1275904650219625,0.05311981848468269,,,0.075,12,24
air_quality,C6H6(GT),segment_stuck,mode_bucket,1.0,ldp_window_glr,matched_train,12,0.5174718601093784,0.1117764288652726,0.10364801775487686,0.03908942848678697,0.1275904650219625,0.05311981848468269,0.10645833333333332,0.16666666666666666,0.075,12,24
air_quality,C6H6(GT),segment_stuck,mode_bucket,1.0,privsaf_hmm,matched_train,12,0.517397999241932,0.06834121711573357,0.11449484308773249,0.07059758286726776,0.1275904650219625,0.05311981848468269,0.12808380061006028,0.0,0.075,12,24
air_quality,C6H6(GT),segment_stuck,mode_bucket,1.0,privsaf_mixture,matched_train,12,0.5185820743989603,0.028327631368694237,0.08070691959715232,0.02674581903674653,0.1275904650219625,0.05311981848468269,0.3566666666666667,0.4166666666666667,0.075,12,24
beijing_air,Aotizhongxin PM2.5,segment_stuck,mode_bucket,1.0,ldp_distribution_surprise,matched_train,12,0.5016747719027507,0.027595287882652923,0.07717025369397927,0.02790503723890805,0.13540145451521945,0.058927910105371274,,,0.075,12,24
